review_id,user_id,business_id,stars,date
Q9RjsJz7uLJXlLZ1spEY-A,gPnezUoB9AcxE_qeBR_Dsw,5WOE18ldtQ1U0MK5fN2HGQ,5.0,2018-06-08 22:21:55
uoogIm15DCkUUjIdQjwmPA,NS9uz1e7_77ESixQJ_B4vg,dnBQZpWTyJzTe0QJf7YK5w,3.0,2015-07-03 21:23:50
cQI6kz6_ZOOCUGBZPatD2Q,HjUHTJAvYFw5xluh_13rrw,dnBQZpWTyJzTe0QJf7YK5w,5.0,2015-04-28 18:44:12
RkIGf_Xib9UaH4bNaBxB0w,CMyd-3qwm5A7tHF8GdtvwQ,Wrd9LAbc8IOoAS5H6uw9sw,3.0,2013-01-27 18:42:49
BaBxQ063xrSg6CsRTTV3ow,_pPiEB1VQF7eSss4DTQWXA,6tu5q1pgP7sfDpTY9Vq7GQ,1.0,2017-06-06 19:22:31
1Z1iciFVfECN_6x9wDekBA,zS5YwLIui_fUziPslbkufQ,YNpwfdqBeP6j8aFrJp2sQw,5.0,2017-03-13 01:15:40
Tacsvq655XSRqmYr0JzKow,HcJEucT51evFReaaa_ID_Q,c5TOGBUCCUUNBPM7h_KbmQ,4.0,2010-08-21 01:04:44
h9SN_e1A3BHPzfgBRysT4g,wZhzg_DXPx0c9djWBc9Rvg,dnBQZpWTyJzTe0QJf7YK5w,5.0,2017-05-13 03:53:03
NdiKZAkhxb3Gka6KHZBbog,o1hdVCYTWCTHEQZbmVT8Jw,dnBQZpWTyJzTe0QJf7YK5w,5.0,2015-09-24 01:37:12
Z_afh1JJ4NYQyRAG3fjmmQ,RIEpqG-MpoXuoeS7vMb_Mg,dnBQZpWTyJzTe0QJf7YK5w,4.0,2014-07-28 03:48:41
YtXWvlD6Zbgpz94DjZ0XOA,OR9aExmeFRsS2GzefXsf4g,dnBQZpWTyJzTe0QJf7YK5w,5.0,2017-12-02 21:55:27
fBrtPuHf96NgFtbczl8FvQ,ivs9dCkAmdKatcnxC4XxDA,c5TOGBUCCUUNBPM7h_KbmQ,5.0,2015-09-24 02:16:13
ov_k_YVM1zv2G5tFKaODCw,Bq6dxl4gDdDc3HNssSWgWg,dnBQZpWTyJzTe0QJf7YK5w,2.0,2014-07-28 02:51:16
a3TSYKJZDXyKYSC30rDgVA,kUrdkPbrnWgOFmOYczOPMw,YNpwfdqBeP6j8aFrJp2sQw,3.0,2016-04-23 04:16:59
0Lp0TybVEiX4XarMHdfxzg,7FdW2SGOF03KXnWgiVUpoA,c5TOGBUCCUUNBPM7h_KbmQ,5.0,2017-04-30 05:21:27
3No1mIwqiCpvu3IpqzaNAw,jwDAbA-jD0hbICQ5eyF4Pw,Wrd9LAbc8IOoAS5H6uw9sw,4.0,2009-03-01 22:11:56
EM4n-YbZGuAAQHL8EJfNWA,YmK6PYrnHikusFZh7z0Kuw,dnBQZpWTyJzTe0QJf7YK5w,5.0,2016-11-10 01:12:59
SWhBn4eeF_JXCM6CeDA51Q,h1BF4UAwXT9J7bMll-trsw,Wrd9LAbc8IOoAS5H6uw9sw,3.0,2010-10-07 01:17:33
O31Uu95x-6RfwPSMF4Uw0w,a0VuR2Ke4RxoIVFSve53Qg,dnBQZpWTyJzTe0QJf7YK5w,5.0,2017-07-08 21:32:03
x0xbAlfhf-75xw89P5clZQ,C-DenVL7zsnrk4JDKv26DQ,dnBQZpWTyJzTe0QJf7YK5w,5.0,2013-08-03 22:19:32
L8L8m1GPaqSjQGJA7Sa3Eg,Fv2EgyZ_MtXL_e2s3btnsg,sZ3AWH6WPq38fEKijvl9vA,3.0,2015-10-17 04:02:24
AmMCzrmePOL3BZSp21ifYA,fm6vvm-T6ojK41Cw6Je3WA,YNpwfdqBeP6j8aFrJp2sQw,4.0,2016-05-31 03:32:20
N9DdY0jzsxbSeXT2Dl-3pw,c-2ycXb0gddd-d6UGGxgNQ,c5TOGBUCCUUNBPM7h_KbmQ,2.0,2017-12-16 03:26:53
TYZ4oi6ql6KDzBRYnm2yeA,1Hhz6FGgvi9qd1q6PR0AEA,c5TOGBUCCUUNBPM7h_KbmQ,3.0,2014-11-12 22:13:29
FYaGS-d4mY9bHIqEb4nLPA,uE0N6qvKnOvZLjH_hEHjxQ,j1i7s55PmOFzJC3l6O8PiA,4.0,2014-05-26 22:37:17
v17rLtqVktnbmNww9Ulzfw,M-JNL7IzQ7UDLt_zP4fqVQ,dnBQZpWTyJzTe0QJf7YK5w,4.0,2017-08-28 23:43:46
x3X_Ne7Ewy29XHAjfnfu_g,T-vQkEDV6r_hJSndzHlKLw,dnBQZpWTyJzTe0QJf7YK5w,1.0,2017-10-24 23:26:09
zXFqUKQqM3WrlQK_p7ablA,QgZjQhfL49RzL032sK5RxA,dnBQZpWTyJzTe0QJf7YK5w,4.0,2013-03-19 02:36:41
Sq5ZrHRJtywUZy7w0g2FkA,d_TBs6J3twMy9GChqUEXkg,dnBQZpWTyJzTe0QJf7YK5w,3.0,2018-03-04 13:42:16
GR84zM8xYTAq8-FUHt5HzQ,Ufa4Q9gUCRfmHeOGtbaBaQ,j1i7s55PmOFzJC3l6O8PiA,2.0,2016-03-07 13:59:03
5lmMZfqLKMgyB3WMmtDb5w,sOCuf-jZo43DUzWTDKiR9w,dnBQZpWTyJzTe0QJf7YK5w,3.0,2014-11-13 18:14:43
fhUVH7mjUTFv0LgkeJYxQA,rE6UaZNG-uCZgs2ewaPwbw,c5TOGBUCCUUNBPM7h_KbmQ,5.0,2012-11-06 22:31:25
AWfn5WLhFI7wkNtXs5SdeA,FEdOFBnu36gkXtAbQz7tYQ,j1i7s55PmOFzJC3l6O8PiA,3.0,2015-07-04 12:54:04
iFOvYYKIUrVoKBGg9mZTVg,0qunwL5S0GLFaWjPTKUXLQ,Wrd9LAbc8IOoAS5H6uw9sw,5.0,2016-01-17 23:17:00
puctvsF8eNDXdH-pFfW1cw,K4tFS6tuMGMIoq0rXYB7Xw,dnBQZpWTyJzTe0QJf7YK5w,1.0,2018-06-09 03:59:31
yy9G9kF_I5MGte3Me2p3QA,yxgzLsNbBK-xbDazb-AM3Q,x4ZC3VMZCuI0y31yGfxG-g,5.0,2018-05-19 12:34:40
5A4TSwXEBH52SgjcyTySOQ,CF7eIu95znwa2uM_0BfNtQ,dnBQZpWTyJzTe0QJf7YK5w,4.0,2018-05-09 09:40:59
4DJOMkYaBMvApxUQi3JSiA,xFiMAYVuEA32SIyYr_F2qQ,Wrd9LAbc8IOoAS5H6uw9sw,4.0,2015-07-16 18:52:09
b-m8lbmTMmzSYsnFE5Bn3g,8Ib1RXvG8X6Vxb5YhrukYA,YNpwfdqBeP6j8aFrJp2sQw,4.0,2016-05-19 23:24:06
nfPtmbYfmjoazv8vNHlFrQ,lWiPASGhFu3FEy-He_jSoQ,YNpwfdqBeP6j8aFrJp2sQw,5.0,2015-06-22 03:35:13
79WJarhD3MNnxI3zxYyNNg,mQZJfkhi7iUT5jNjxfIM_Q,Wrd9LAbc8IOoAS5H6uw9sw,3.0,2017-08-08 05:22:19
L4db7zJ-OcgaDcR5F-CiUQ,UA99n709ya6lRZPT2bQH8Q,YNpwfdqBeP6j8aFrJp2sQw,4.0,2016-05-31 21:44:45
5IC0Equi2u-RFdw2M4xUkw,pA0Ke_97Qn8ROyZbEMtVWg,c5TOGBUCCUUNBPM7h_KbmQ,4.0,2014-12-19 03:33:49
EMIUvgirQckyiaOZQt92mg,NkcRZRFFG6wyePeyj67MfA,Wrd9LAbc8IOoAS5H6uw9sw,5.0,2015-10-08 04:21:12
gmxQ_zL9zpqujPTuKSazdw,sK0v0p_o7qbo-ZECDMEx0Q,c5TOGBUCCUUNBPM7h_KbmQ,3.0,2014-04-20 03:44:41
XdxfrVJTpQ6cbYT394xngQ,A0ihG8Nf6ktdfuXnlJhQNA,dnBQZpWTyJzTe0QJf7YK5w,5.0,2017-05-13 20:27:30
r72_WmTs3qCHFYG7I_Iusg,xYciRtVZ1PW4IxSX4oJ1aw,YNpwfdqBeP6j8aFrJp2sQw,3.0,2015-04-29 02:11:23
BNA0ufUfApWjZtej_GFJkg,t5nWD3Ya10ntwt3iWx5Kbg,YNpwfdqBeP6j8aFrJp2sQw,4.0,2018-05-09 03:05:17
5j9StVMPO0EqVj1TMEd2ug,yNgJm7DAO6XeaUOZlr-9Cg,Wrd9LAbc8IOoAS5H6uw9sw,5.0,2011-09-26 02:57:16
GE9Con6LJHTTJiv6n74Uvw,xwXw5HW3Y6Gr37V0KxX8sA,Wrd9LAbc8IOoAS5H6uw9sw,2.0,2011-01-10 17:40:14
KmhclquzeCjFWAnXsqgeYg,g0GRKkGP7JtFpjfpWqEeMA,c5TOGBUCCUUNBPM7h_KbmQ,5.0,2016-08-05 04:14:10
7LYwsaW-fUvGujsxCjfp4w,bMOkvYjCW768dfn7aG2Huw,dnBQZpWTyJzTe0QJf7YK5w,5.0,2015-11-07 00:23:04
BEXcukq0T1CbrgsU3koSWg,C-DenVL7zsnrk4JDKv26DQ,dnBQZpWTyJzTe0QJf7YK5w,5.0,2013-10-24 21:19:45
ZBt1YteFPzQyCXprrn4TrA,2AzI0U--Crr8GGCDAnruAg,YNpwfdqBeP6j8aFrJp2sQw,5.0,2016-01-18 03:56:13
RmLqwCYfTfpWDNR66ae_1A,jsEzCXrpP4jiHVLiAmCwdA,YNpwfdqBeP6j8aFrJp2sQw,4.0,2015-12-21 05:06:08
aPs8wpuBYq5LUb2LUawPEA,eBytDMXhIcjfcCfXgL4pgQ,dnBQZpWTyJzTe0QJf7YK5w,4.0,2018-05-09 00:10:16
DgiNRDL_x3zAPoJAqeHC4g,43zyz08tPXuHkhxMavXG0A,dnBQZpWTyJzTe0QJf7YK5w,4.0,2018-09-25 22:58:55
gnCZ5TzwJ2VPTEXBvJkY4A,T-yhDAF6MWbm3AkBV9rF2A,Wrd9LAbc8IOoAS5H6uw9sw,5.0,2018-02-02 04:56:19
x8RsZfRwwGYu2zJ5TIVszQ,ketXUjiRCklJxceTAmdEJA,YNpwfdqBeP6j8aFrJp2sQw,5.0,2016-01-18 17:33:23
NHzEKmzyY4F29EZ0uvMCVA,DlB7CLHWLHa_hYDrYVNDcA,dnBQZpWTyJzTe0QJf7YK5w,4.0,2015-08-31 00:05:41
JHMyp4CeSkIe686R4qje2w,MiMXRzomnaiU12464Mopew,dnBQZpWTyJzTe0QJf7YK5w,5.0,2017-10-03 00:17:41
ymbrdvYy4otEw6emIFcnZQ,kdRFvsNruoUlxqh9hRa3qw,c5TOGBUCCUUNBPM7h_KbmQ,4.0,2015-07-17 06:03:12
AuTL5UesbfcipKaNi1J0IQ,7uqal6YKtmCoF4sZTsqkHw,c5TOGBUCCUUNBPM7h_KbmQ,2.0,2017-02-19 21:09:23
NxJqH7CiKWYCERGw1y6bJQ,_a7HEiF_aeHx3NFhX29AEg,j1i7s55PmOFzJC3l6O8PiA,1.0,2014-09-10 19:17:45
DHIXk-4KpgUmb-QeGEHL-g,105tIg6brHiGDBXuGbbizA,Wrd9LAbc8IOoAS5H6uw9sw,5.0,2015-07-28 18:21:05
TDD9CTLFaQGheIVr6u48Hg,eY6TPklHTeOaQt9F8a_SGQ,YNpwfdqBeP6j8aFrJp2sQw,4.0,2016-07-05 05:22:44
YzmfSlzVfVZEhw9qgRYcOA,VswgrudhENYcAr8KpE4JOw,YNpwfdqBeP6j8aFrJp2sQw,5.0,2017-02-10 14:41:36
yPnDTl0um6jJkON9kiRE4w,s_SzQvkDfn18Cquma7DndQ,YNpwfdqBeP6j8aFrJp2sQw,3.0,2015-06-22 14:24:05
piUJ4a7r8Dd84Tg158KexA,EiP1OFgs-XGcKZux0OKWIA,6tu5q1pgP7sfDpTY9Vq7GQ,3.0,2014-01-19 06:28:26
2fEa6qDX5OIPC1DYSxBn6A,XV3ib5G3CY6g6gFZiCuGbA,Wrd9LAbc8IOoAS5H6uw9sw,4.0,2018-07-09 01:04:06
wL91FdOPdvgusUoBIrzkWw,OkEffcUN-fs6GNH8VCluEg,dnBQZpWTyJzTe0QJf7YK5w,5.0,2017-08-30 00:04:55
EAcYnuiBwBMT_kOMeE7YKA,jGFk5tYqDkWv7b7zX-CLMg,YNpwfdqBeP6j8aFrJp2sQw,4.0,2016-01-18 17:12:53
YKoIN0-Yefv5ziRjuIHGsw,OLFjrEeRX9xVESXUqFzmkA,YNpwfdqBeP6j8aFrJp2sQw,4.0,2016-06-23 03:40:53
b2zd_tkOCxzJa3bmfHj6QA,LIj9B3nl7MCXp7D4OUvYRw,YNpwfdqBeP6j8aFrJp2sQw,2.0,2016-01-31 19:52:24
dotWQ-8VH-_PUqanY2Uosg,ONkvEOAKc5thWgR4cPDxMQ,dnBQZpWTyJzTe0QJf7YK5w,2.0,2018-02-03 03:01:22
6IYUab3609pqJLbrrnGSuA,zrnrTczWS4XBGPvrVbhDJg,YNpwfdqBeP6j8aFrJp2sQw,4.0,2016-04-12 19:21:00
CJzzJRuNd1DNWA3QG4cWMg,Sdwt9KKFxMy20wGuKRFj7g,Wrd9LAbc8IOoAS5H6uw9sw,5.0,2015-05-14 02:11:47
IKwty7jh8zSdYjZxjY57vw,PwNanrk2sIOiAyYSRj-kYA,dnBQZpWTyJzTe0QJf7YK5w,5.0,2017-01-16 06:07:05
tpEYdywkNRFeMqje-0ozrA,dBF5HTs9cMkeIa5YuLq7Ng,j1i7s55PmOFzJC3l6O8PiA,4.0,2016-01-18 03:07:57
